id,element,pd,auto,conformance,cardinality,values,page
6.4.3.5.2,Receiver personal identifier - value,D,,Optional,0..1,Alpha-numeric,97
6.4.3.5.3,Receiver personal identifier - time period,D,,Optional,0..1,Period,97
6.4.3.5.4,Organisation who issued the Receiver’s (related person) personal identifier,D,,Optional,0..1,Free text,97
6.4.3.6,Role of receiver (related person),D,,Optional,0..1,Coded value,98
6.4.3.7,Relationship to the patient,D,,Optional,0..1,Coded value,98
6.4.3.8,Address for receiver (related person) (cluster),D,,Optional,0..1,,98
6.4.3.8.1,Postcode,D,,Optional,0..1,Alpha-numeric,98
6.4.3.8.2,Address line(s),D,,Optional,0..1,Free text,99
6.4.3.8.3,Suburb/Town/ Townland/ Locality,D,,Optional,0..1,Free text,99
6.4.3.8.4,District/ County,D,,Optional,0..1,Coded Value,99
6.4.3.8.5,Country,D,,Optional,0..1,Coded value,99
6.4.3.9,Communication details for receiver (related person) (cluster),D,,Optional,0..1,,99
6.4.3.9.1,Mobile phone number of receiver,D,,Optional,0..1,Alpha-numeric,100
6.4.3.9.2,Landline phone number of receiver,D,,Optional,0..1,Alpha-numeric,100
6.4.3.9.3,Email address of receiver,D,,Optional,0..1,Alpha-numeric,100
6.5,Prescription item identifier with related request,D,,Required,0..1,Alpha-numeric,101
6.6,Dispensed medication,D,,Mandatory,1..1,,101
6.7,Dispensed quantity value,D,,Mandatory,1..1,Quantity,101
6.8,Date of dispensation,D,,Mandatory,1..1,Datetime,101
6.9,Time of dispensation,D,,Required,0..1,Time,102
6.10,Substitution occurred,D,,Optional,0..1,Coded value (Boolean),102
6.11,Dosage instructions,D,,Required,0..1,,102
6.12,Additional information,D,,Optional,0..*,Free text,103
